범행동기,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미혼_미상,기혼,미상
생활비마련,2095,9,90,350,56,296,5,2,121,10,26,0
유흥비마련,1322,10,38,245,30,204,5,2,69,10,1,0
도박비마련,72,0,0,8,0,8,0,0,1,1,0,0
허영사치심,88,0,3,11,2,13,1,0,5,2,1,0
치부,23,0,1,0,0,2,0,0,0,0,0,0
이욕_기타,4292,12,96,497,65,479,5,2,125,11,27,1
신고·고소,5,0,0,1,0,2,0,0,0,0,0,0
보복_기타,21,0,0,3,0,6,0,0,1,0,0,0
사행심,610,3,16,52,8,61,1,2,23,1,6,0
가정불화,173,0,9,14,6,38,0,0,9,0,10,1
호기심,6523,19,63,634,77,701,6,4,129,21,6,3
유혹,845,3,8,80,9,85,1,0,17,1,0,0
우발적,15285,69,175,1507,170,1758,13,15,384,53,55,12
현실불만,291,0,3,50,2,55,1,0,14,0,3,1
부주의,3651,13,30,294,31,326,5,7,69,13,67,4
기타,14445,83,181,1242,149,1504,22,36,396,42,153,27
미상,150,0,2,15,2,16,0,0,4,3,2,8692
