범죄분류,없음,1회,2회,3회 이상,미상
절도,14627,1621,843,2887,30
장물,327,34,19,60,3
사기,3976,462,306,1445,36
횡령,1183,94,39,102,6
배임,0,0,0,0,1
손괴,699,76,55,123,2
살인,16,0,1,0,1
강도,128,35,11,68,2
방화,98,8,2,9,1
성폭력,2706,157,67,143,10
폭행,9458,805,395,839,20
상해,4954,526,318,703,18
협박,511,46,13,50,6
공갈,1030,172,104,285,6
약취와유인,13,3,1,6,0
체포와감금,171,17,12,39,1
"폭력행위등(손괴,강요,주거침입등)",400,20,16,38,1
폭력행위등(단체등의구성·활동),29,7,5,5,0
통화,11,3,2,4,0
유가증권·인지·우표,2,0,1,0,1
문서,1432,117,46,141,20
인장,11,0,1,0,2
직무유기,3,0,0,0,0
직권남용,0,0,0,0,1
도박과복표,68,8,2,6,2
기타음란행위,66,5,4,1,0
과실치사상,66,1,0,3,0
업무상과실치사상,9,0,0,0,0
실화,70,1,0,2,0
명예,1421,39,15,40,2
권리행사방해,79,6,4,17,3
신용업무경매,97,12,6,21,1
주거침입,352,34,16,32,1
비밀침해,1,0,0,0,0
유기,7,1,0,1,0
공무방해,173,20,15,48,3
도주와범인은닉,24,3,0,4,1
위증과증거인멸,7,0,0,0,12
무고,46,2,1,2,3
공안을해하는죄,2,0,0,4,1
기타,2,0,0,0,0
개발제한구역의지정및관리에관한특별조치법,1,0,0,0,0
개인정보보호법,9,0,0,1,0
게임산업진흥에관한법률,86,5,1,0,0
경범죄처벌법,44,10,1,12,0
공중위생관리법,2,0,0,2,3
공직선거법,7,1,1,1,0
교통사고처리특례법,2543,186,70,185,4
국민체육진흥법,5,0,0,1,0
근로기준법,1,0,0,0,2
근로자퇴직급여보장법,0,0,0,0,1
농수산물의원산지표시에관한법률,0,0,0,0,1
대기환경보전법,0,0,0,0,2
대부업등의등록및금융이용자보호에관한법률,4,2,0,1,0
도로교통법,4716,489,246,659,9
도로법,3,1,0,0,0
마약류관리에관한법률,31,4,1,2,5
물환경보전법,1,0,0,0,0
사행행위등규제및처벌특례법,1,0,0,0,0
상표법,4,1,0,0,0
성매매알선등행위의처벌에관한법률,216,19,8,17,1
식품위생법,11,1,0,0,0
아동·청소년의성보호에관한법률(성매수등),158,37,13,51,3
아동·청소년의성보호에관한법률(음란물등),98,6,1,3,0
아동복지법,43,4,0,3,0
여객자동차운수사업법,2,0,0,0,0
여신전문금융업법,75,8,1,12,3
의료법,9,1,0,4,0
자동차관리법,194,26,10,30,2
자동차손해배상보장법,417,57,22,66,6
저작권법,124,1,0,0,3
전자금융거래법,203,16,11,36,8
정보통신망이용촉진및정보보호등에관한법률,634,22,5,18,2
조세범처벌법,0,0,0,0,3
주민등록법,704,58,25,52,4
청소년보호법,775,38,16,24,1
출입국관리법,9,0,0,0,0
특가법(도주차량),80,10,9,26,7
풍속영업의규제에관한법률,1,0,0,0,0
학원의설립운영및과외교습에관한법률,1,0,0,0,0
기타특별법,385,50,31,98,8
