범죄분류,실(양)부모,계부모,실부계모,실부무모,실모계부,실모무부,계부무모,계모무부,무부모,미혼자부모관계_미상,기혼,미상
절도,14874,57,303,1719,225,1649,23,18,493,56,48,543
장물,341,0,3,30,4,33,0,0,8,3,2,19
사기,3930,11,86,466,53,459,7,5,156,15,43,994
횡령,1069,4,10,94,9,119,2,1,24,4,5,83
배임,0,0,0,0,0,0,0,0,0,0,0,1
손괴,647,6,15,64,7,78,0,0,22,5,5,106
살인,12,0,0,0,1,3,0,0,0,0,0,2
강도,177,2,7,15,2,23,0,0,6,0,0,12
방화,97,1,1,3,2,10,0,0,2,0,0,2
성폭력,2236,9,22,182,25,221,1,0,60,7,7,313
폭행,6488,22,80,632,80,802,8,9,185,12,39,3160
상해,4930,23,45,463,49,587,7,6,95,17,20,277
협박,338,5,4,29,2,52,0,2,9,0,7,178
공갈,1113,5,11,155,19,124,1,2,37,0,7,123
약취와 유인,17,0,0,2,0,2,0,0,1,0,0,1
체포와 감금,148,0,4,22,3,17,0,0,8,0,0,38
"폭력행위등(손괴,강요,주거침입등)",355,1,4,38,2,37,2,3,8,0,0,25
폭력행위 등(단체 등의 구성ㆍ활동),38,0,0,1,1,3,0,0,1,0,1,1
통화,13,0,0,1,1,2,0,0,1,0,0,2
유가증권ㆍ인지ㆍ우표,1,0,0,2,0,0,0,0,0,0,0,1
문서,1347,9,10,98,16,126,2,0,20,7,9,112
인장,7,0,0,2,1,0,0,0,2,0,0,2
직무유기,0,0,0,0,0,0,0,0,0,0,0,3
직권남용,0,0,0,0,0,0,0,0,0,0,0,1
도박과 복표,70,1,3,2,0,3,0,0,0,0,1,6
기타 음란행위,59,0,1,3,0,3,0,0,1,0,0,9
과실치사상,37,0,1,2,0,3,0,0,0,0,0,27
업무상 과실치사상,7,0,0,1,0,0,0,0,0,0,1,0
실화,63,0,0,2,2,2,0,0,1,0,0,3
명예,756,2,7,52,1,66,0,0,11,4,3,615
권리행사 방해,75,0,1,4,1,7,0,0,2,1,0,18
신용업무 경매,84,1,2,10,0,11,0,0,2,2,1,24
주거 침입,299,0,8,29,5,32,1,1,11,0,3,46
비밀침해,1,0,0,0,0,0,0,0,0,0,0,0
유기,5,0,0,1,0,0,0,0,0,0,3,0
공무방해,175,2,7,30,1,21,0,0,10,0,1,12
도주와 범인 은닉,28,0,0,0,0,0,0,0,1,0,0,3
위증과 증거인멸,4,0,0,0,0,0,0,0,0,0,0,15
무고,13,0,0,1,0,1,0,0,0,0,0,39
공안을 해하는 죄,5,0,0,0,0,1,0,0,0,0,0,1
기타,2,0,0,0,0,0,0,0,0,0,0,0
개발제한구역의 지정 및 관리에 관한 특별조치법,0,0,0,0,0,0,0,0,0,0,0,1
개인정보보호법,6,0,0,2,0,1,0,0,0,0,0,1
게임산업진흥에관한법률,61,0,4,4,1,4,0,0,2,0,0,16
경범죄처벌법,45,0,0,3,1,9,0,0,2,1,0,6
공중위생관리법,2,0,0,1,0,0,0,0,0,0,1,3
공직선거법,9,0,0,1,0,0,0,0,0,0,0,0
교통사고 처리특례법,1676,7,4,126,13,168,3,4,23,6,43,915
국민체육진흥법,6,0,0,0,0,0,0,0,0,0,0,0
근로기준법,1,0,0,0,0,0,0,0,0,0,0,2
근로자퇴직급여보장법,0,0,0,0,0,0,0,0,0,0,0,1
농수산물의원산지표시에관한법률,0,0,0,1,0,0,0,0,0,0,0,0
대기환경보전법,0,0,0,0,0,0,0,0,0,0,0,2
대부업등의등록및금융이용자보호에관한법률,6,0,0,0,0,0,0,0,0,0,0,1
도로교통법,4676,27,38,375,38,429,6,10,89,14,75,342
도로법,3,0,0,0,0,0,0,0,0,0,0,1
마약류관리에 관한 법률,30,0,0,1,0,6,0,0,0,0,0,6
물환경보전법,0,0,0,1,0,0,0,0,0,0,0,0
사행행위등규제및처벌특례법,1,0,0,0,0,0,0,0,0,0,0,0
상표법,4,0,1,0,0,0,0,0,0,0,0,0
성매매알선등행위의처벌에관한법률,159,2,2,26,5,26,0,0,6,0,0,35
식품위생법,9,0,0,0,1,0,0,0,0,0,0,2
아동·청소년의성보호에관한법률(성매수등),139,1,5,36,6,43,0,1,5,0,3,23
아동·청소년의성보호에관한법률(음란물등),81,1,0,2,0,18,0,0,1,0,0,5
아동복지법,25,0,1,5,2,6,0,0,3,1,3,4
여객자동차운수사업법,1,0,0,0,0,0,0,0,0,0,0,1
여신전문금융업법,65,1,3,11,1,12,0,0,0,0,0,6
의료법,10,0,0,1,0,1,0,0,0,0,0,2
자동차관리법,182,1,2,21,1,20,0,1,4,0,5,25
자동차손해배상보장법,431,5,1,34,3,46,0,0,7,1,7,33
저작권법,46,1,1,2,1,0,0,0,0,0,0,77
전자금융거래법,182,0,1,18,1,15,0,1,6,1,3,46
정보통신망이용촉진 및 정보보호 등에 관한법률,413,0,5,36,1,32,0,1,11,0,1,181
조세범 처벌법,0,0,0,0,0,0,0,0,0,0,0,3
주민등록법,646,1,4,50,6,88,0,3,11,4,2,28
청소년보호법,663,7,5,36,5,55,1,1,10,5,4,62
출입국관리법,3,0,0,1,1,2,0,1,0,1,0,0
특가법(도주차량),84,1,1,8,2,17,1,0,1,0,0,17
풍속영업의 규제에 관한법률,1,0,0,0,0,0,0,0,0,0,0,0
학원의설립운영및과외교습에관한법률,1,0,0,0,0,0,0,0,0,0,0,0
기타 특별법,363,5,2,46,6,59,0,0,9,1,4,77
