범죄분류,하류,중류,상류,미상
절도,8972,7362,141,429
장물,159,118,2,11
사기,3772,2211,56,929
횡령,685,631,12,65
배임,0,0,0,2
손괴,427,401,11,101
살인,4,5,0,2
강도,141,63,4,7
방화,49,56,2,3
성폭력,1052,1733,55,333
폭행,3782,4704,117,2315
상해,2328,2877,55,223
협박,225,337,12,132
공갈,803,865,15,108
약취와 유인,11,1,0,1
체포와 감금,130,108,3,39
"폭력행위등(손괴,강요,주거침입등)",208,267,3,22
폭력행위 등(단체 등의 구성ㆍ활동),20,25,0,6
통화,11,1,0,13
유가증권ㆍ인지ㆍ우표,9,3,0,0
문서,623,766,18,58
인장,4,4,0,1
직무유기,0,0,0,1
직권남용,0,0,0,2
수뢰,0,0,0,0
증뢰,0,0,0,0
도박과 복표,47,20,0,63
신앙,1,0,0,0
기타 음란행위,30,59,2,1
과실치사상,14,37,1,17
업무상 과실치사상,4,2,0,1
실화,42,32,1,6
명예,322,570,13,502
권리행사 방해,41,60,4,12
신용업무 경매,82,80,2,17
주거 침입,198,268,5,35
비밀침해,0,0,0,0
유기,2,1,0,1
교통방해,1,3,0,1
공무방해,115,90,3,14
도주와 범인 은닉,18,7,0,1
위증과 증거인멸,0,1,0,13
무고,11,9,0,52
공안을 해하는 죄,0,2,0,1
내란의죄,0,0,0,3
음용수에 관한 죄,0,0,0,0
일수와수리에관한죄,0,0,0,0
기타,2,0,0,1
개발제한구역의 지정 및 관리에 관한 특별조치법,0,0,0,0
개인정보보호법,1,0,0,1
건축법,0,0,0,0
게임산업진흥에관한법률,49,31,0,9
경범죄처벌법,40,23,1,5
공유재산및물품관리법,0,0,0,0
공인중개사법,0,0,0,0
공중위생관리법,2,1,0,0
공직선거법,6,3,0,3
교통사고 처리특례법,1175,742,10,650
국민체육진흥법,2,4,0,1
국토의계획및이용에관한법률,0,0,0,0
근로기준법,0,0,0,1
근로자퇴직급여보장법,0,0,0,0
농수산물의원산지표시에관한법률,0,0,0,0
농지법,0,0,0,0
대기환경보전법,0,0,0,0
대부업등의등록및금융이용자보호에관한법률,5,8,0,1
도로교통법,2569,1870,33,162
도로법,0,0,0,0
마약류관리에 관한 법률,31,21,1,5
물환경보전법,0,0,0,0
병역법,0,0,0,0
부정경쟁방지 및 영업비밀보호에 관한법률,0,0,0,0
부정수표단속법,7,0,0,0
사행행위등규제및처벌특례법,0,0,0,0
산림자원의조성및관리에관한법률,0,0,0,0
산업안전보건법,0,0,0,0
산지관리법,0,0,0,0
상표법,0,4,1,2
선박안전법,0,0,0,0
선박직원법,0,0,0,0
성매매알선등행위의처벌에관한법률,105,46,0,19
수산업법,0,0,0,0
수산자원관리법,0,0,0,0
식품위생법,1,0,0,2
아동·청소년의성보호에관한법률(성매수등),111,79,0,33
아동·청소년의성보호에관한법률(음란물등),47,72,2,5
아동복지법,29,36,0,5
여객자동차운수사업법,1,0,1,0
여신전문금융업법,47,32,2,6
예비군법,0,0,0,0
외국환거래법,0,0,0,1
의료법,4,3,0,0
자동차관리법,125,81,3,19
자동차손해배상보장법,181,137,1,21
저작권법,4,7,0,26
전자금융거래법,146,79,0,22
정보통신망이용촉진 및 정보보호 등에 관한법률,191,299,8,166
조세범 처벌법,0,0,0,0
주민등록법,433,477,9,39
청소년보호법,362,326,10,47
축산물위생관리법,0,0,0,0
출입국관리법,5,0,0,1
통신비밀보호법,0,0,0,1
특가법(도주차량),38,16,0,11
폐기물관리법,0,0,0,0
풍속영업의 규제에 관한법률,0,0,0,2
학원의설립운영및과외교습에관한법률,0,0,0,0
화물자동차운수사업법,0,0,0,0
기타 특별법,236,166,1,72
