범죄분류,전과없음,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,미상
절도,11650,2419,1245,899,581,508,416,297,228,1237,528
장물,261,53,31,16,12,7,14,2,1,28,18
사기,2854,513,334,263,191,169,121,93,103,606,978
횡령,943,182,66,44,29,18,8,10,12,32,80
배임,0,0,0,0,0,0,0,0,0,0,1
손괴,507,113,56,46,30,21,18,7,14,43,100
살인,12,2,1,1,0,0,0,0,0,0,2
강도,100,37,15,13,12,9,4,8,4,30,12
방화,87,16,2,1,3,1,1,0,2,3,2
성폭력,2212,268,104,40,34,34,19,17,7,54,294
폭행,5503,1120,555,333,216,150,125,78,66,267,3104
상해,3888,824,463,311,173,130,100,89,44,228,269
협박,296,60,26,15,19,8,6,0,5,17,174
공갈,756,211,122,68,60,58,37,27,19,122,117
약취와유인,15,1,0,1,1,0,1,0,1,2,1
체포와감금,119,26,14,8,8,7,5,3,3,10,37
"폭력행위등(손괴,강요,주거침입등)",302,54,30,16,12,8,8,7,1,12,25
폭력행위등(단체등의구성·활동）,15,8,4,3,3,2,2,0,0,8,1
통화,8,2,1,4,0,1,0,0,0,2,2
유가증권·인지·우표,1,0,1,1,0,0,0,0,0,0,1
문서,1192,176,92,34,31,24,21,11,13,51,111
인장,8,3,0,1,0,0,0,0,0,0,2
직무유기,0,0,0,0,0,0,0,0,0,0,3
직권남용,0,0,0,0,0,0,0,0,0,0,1
도박과복표,58,10,5,3,0,1,0,1,1,1,6
기타음란행위,56,5,3,2,1,0,0,0,0,0,9
과실치사상,42,0,0,1,1,1,0,0,0,0,25
업무상과실치사상,9,0,0,0,0,0,0,0,0,0,0
실화,54,5,2,4,3,2,0,0,0,0,3
명예,790,56,28,16,6,3,8,3,1,6,600
권리행사방해,64,8,2,5,3,4,2,1,0,4,16
신용업무경매,59,21,8,6,3,3,7,0,1,6,23
주거침입,258,46,25,23,4,8,5,7,4,11,44
비밀침해,1,0,0,0,0,0,0,0,0,0,0
유기,6,2,0,0,0,0,0,0,0,1,0
공무방해,130,43,16,14,22,5,5,1,2,11,10
도주와범인은닉,13,8,3,2,0,2,0,0,0,1,3
위증과증거인멸,1,1,2,0,0,0,0,0,0,0,15
무고,12,2,0,0,0,1,1,0,0,0,38
공안을해하는죄,2,0,0,1,1,1,0,0,0,1,1
기타,1,1,0,0,0,0,0,0,0,0,0
개발제한구역의지정및관리에관한특별조치법,0,0,0,0,0,0,0,0,0,0,1
개인정보보호법,6,1,1,0,0,0,0,0,0,1,1
게임산업진흥에관한법률,64,8,3,0,1,0,0,0,0,0,16
경범죄처벌법,33,6,8,2,0,4,1,1,0,6,6
공중위생관리법,2,0,0,0,1,1,0,0,0,0,3
공직선거법,7,1,1,0,1,0,0,0,0,0,0
교통사고처리특례법,1263,331,166,84,66,36,33,18,17,70,904
국민체육진흥법,5,0,0,0,1,0,0,0,0,0,0
근로기준법,2,0,0,0,0,0,0,0,0,0,1
근로자퇴직급여보장법,0,0,0,0,0,0,0,0,0,0,1
농수산물의원산지표시에관한법률,0,0,0,0,0,0,0,0,0,0,1
대기환경보전법,0,0,0,0,0,0,0,0,0,0,2
대부업등의등록및금융이용자보호에관한법률,1,2,0,0,2,0,0,1,0,0,1
도로교통법,3331,869,488,326,174,131,100,65,52,249,334
도로법,1,1,0,0,0,0,0,0,0,1,1
마약류관리에관한법률,24,4,6,1,1,1,0,0,0,0,6
물환경보전법,1,0,0,0,0,0,0,0,0,0,0
사행행위등규제및처벌특례법,1,0,0,0,0,0,0,0,0,0,0
상표법,4,1,0,0,0,0,0,0,0,0,0
성매매알선등행위의처벌에관한법률,157,30,18,9,6,3,0,1,1,2,34
식품위생법,10,0,0,0,0,0,0,0,0,0,2
아동·청소년의성보호에관한법률(성매수등),127,25,16,17,8,4,16,4,4,18,23
아동·청소년의성보호에관한법률(음란물등),91,11,0,1,0,0,0,0,0,0,5
아동복지법,39,2,1,3,1,0,0,0,0,0,4
여객자동차운수사업법,1,0,0,0,0,0,0,0,0,0,1
여신전문금융업법,62,7,9,4,4,1,0,1,1,4,6
의료법,6,1,0,0,0,0,1,2,0,2,2
자동차관리법,126,40,25,14,6,8,4,3,1,10,25
자동차손해배상보장법,283,88,58,31,22,15,8,5,7,21,30
저작권법,52,0,0,0,1,0,0,0,0,0,75
전자금융거래법,140,22,14,14,7,4,3,2,2,20,46
정보통신망이용촉진및정보보호등에관한법률,418,44,14,5,3,3,2,1,1,10,180
조세범처벌법,0,0,0,0,0,0,0,0,0,0,3
주민등록법,613,103,34,24,10,4,9,2,4,12,28
청소년보호법,662,71,26,9,6,4,3,2,3,7,61
출입국관리법,9,0,0,0,0,0,0,0,0,0,0
특가법(도주차량),50,14,9,12,5,1,6,2,0,17,16
풍속영업의규제에관한법률,1,0,0,0,0,0,0,0,0,0,0
학원의설립운영및과외교습에관한법률,1,0,0,0,0,0,0,0,0,0,0
기타특별법,290,61,38,22,12,18,23,9,4,19,76
